year,gp,driver,sector_id
2025,Dutch Grand Prix,HUL,9
2025,Dutch Grand Prix,COL,9
2024,Dutch Grand Prix,MAG,9
2025,São Paulo Grand Prix,PIA,3
2025,São Paulo Grand Prix,ALO,3
2025,São Paulo Grand Prix,OCO,9
2024,Miami Grand Prix,LEC,5
2024,Miami Grand Prix,HUL,17
2024,Miami Grand Prix,BOT,8
2024,Spanish Grand Prix,SAI,4
2025,Spanish Grand Prix,VER,10
2024,Spanish Grand Prix,SAR,11
2025,Singapore Grand Prix,HUL,7
2025,Singapore Grand Prix,ALO,13
2024,Singapore Grand Prix,RIC,13
2024,São Paulo Grand Prix,TSU,1
2024,São Paulo Grand Prix,VER,1
2024,São Paulo Grand Prix,STR,7
2025,British Grand Prix,COL,6
2025,British Grand Prix,HAM,1
2025,British Grand Prix,GAS,6
2025,Azerbaijan Grand Prix,ALO,17
2025,Azerbaijan Grand Prix,HAD,13
2024,Azerbaijan Grand Prix,ALO,12
2025,Bahrain Grand Prix,GAS,8
2024,Bahrain Grand Prix,MAG,4
2025,Bahrain Grand Prix,ALO,1
2024,Las Vegas Grand Prix,RUS,1
2025,Las Vegas Grand Prix,VER,10
2024,Las Vegas Grand Prix,RUS,7
2024,Qatar Grand Prix,LAW,12
2024,Qatar Grand Prix,STR,11
2024,Chinese Grand Prix,ZHO,0
2025,Chinese Grand Prix,LEC,0
2025,Miami Grand Prix,PIA,14
2024,Miami Grand Prix,ZHO,12
2025,Dutch Grand Prix,LEC,12
2025,Dutch Grand Prix,VER,12
2025,Austrian Grand Prix,LAW,5
2025,Austrian Grand Prix,COL,5
2024,Monaco Grand Prix,RUS,8
2025,Monaco Grand Prix,SAI,8
2024,United States Grand Prix,ALB,0
2024,United States Grand Prix,NOR,0
2024,Italian Grand Prix,COL,8
2025,Italian Grand Prix,PIA,8
2025,British Grand Prix,BOR,5
2025,British Grand Prix,BOR,2
2024,Abu Dhabi Grand Prix,MAG,1
2025,Abu Dhabi Grand Prix,ALO,9
2025,Japanese Grand Prix,HAD,16
2025,Japanese Grand Prix,DOO,16
2025,Italian Grand Prix,GAS,5
2024,Italian Grand Prix,COL,5
2024,Abu Dhabi Grand Prix,PER,12
2024,Abu Dhabi Grand Prix,HUL,6
2025,Spanish Grand Prix,NOR,9
2024,Spanish Grand Prix,ZHO,11
2025,Mexico City Grand Prix,TSU,7
2024,Las Vegas Grand Prix,HAM,2
2024,Hungarian Grand Prix,MAG,13
2025,Japanese Grand Prix,HUL,2
2024,Australian Grand Prix,TSU,6
2025,Miami Grand Prix,GAS,8
2024,United States Grand Prix,VER,5
2025,Belgian Grand Prix,VER,13
2025,Austrian Grand Prix,RUS,8
