rmse,mae,r2,n,nrmse,circuit,target,model,pooled_r2
10.596264473561899,3.7274983038666254,0.9177236222513154,5330,,Singapore Grand Prix,d_coast_optimal,mlp,0.8818417627750866
10.26687317156684,4.122386944469966,0.9104831640877206,4120,,Spanish Grand Prix,d_coast_optimal,mlp,0.8818417627750866
9.364029083980984,3.6620232244381414,0.9257012028538822,3568,,São Paulo Grand Prix,d_coast_optimal,mlp,0.8818417627750866
12.392276278442536,4.752254906821934,0.8661862800426385,6576,,United States Grand Prix,d_coast_optimal,mlp,0.8818417627750866
2.9975227957631247,1.2320786674731357,0.937287661433442,3270,0.06661161768362499,Abu Dhabi Grand Prix,d_X_optimal,xgb,0.9895450585120971
0.6889946031936467,0.4691752667482674,0.9888980088948044,2310,0.015310991182081037,Australian Grand Prix,d_X_optimal,xgb,0.9895450585120971
0.9260993868550854,0.5734726951568625,0.9947119522508855,2399,0.020579986374557453,Austrian Grand Prix,d_X_optimal,xgb,0.9895450585120971
2.028059781316551,1.3184420330271593,0.9713866021422222,3975,0.04506799514036779,Azerbaijan Grand Prix,d_X_optimal,xgb,0.9895450585120971
0.825056114530197,0.518343243883994,0.9963725863214089,3198,0.018334580322893267,Bahrain Grand Prix,d_X_optimal,xgb,0.9895450585120971
0.8359663638564446,0.5884022803321812,0.9936958357708207,4228,0.018577030307920992,Belgian Grand Prix,d_X_optimal,xgb,0.9895450585120971
0.5321456572903107,0.3530615045810112,0.9926325036753755,2835,0.011825459050895794,British Grand Prix,d_X_optimal,xgb,0.9895450585120971
0.9460376457936586,0.4926177036693796,0.9929513072122939,2797,0.021023058795414634,Canadian Grand Prix,d_X_optimal,xgb,0.9895450585120971
1.9676209604912027,1.0171967239393296,0.9814224997601347,3707,0.04372491023313784,Chinese Grand Prix,d_X_optimal,xgb,0.9895450585120971
1.1302995252136796,0.6933867778927505,0.9881786382380449,2840,0.025117767226970657,Dutch Grand Prix,d_X_optimal,xgb,0.9895450585120971
0.46405491854834796,0.3028477614748289,0.9971805877310447,3899,0.01031233152329662,Emilia Romagna Grand Prix,d_X_optimal,xgb,0.9895450585120971
0.4213190294137703,0.30176088440529547,0.997874599190333,3480,0.009362645098083785,Hungarian Grand Prix,d_X_optimal,xgb,0.9895450585120971
1.0241526257228588,0.42758870305070923,0.990713043596194,2395,0.02275894723828575,Italian Grand Prix,d_X_optimal,xgb,0.9895450585120971
0.6142780683618076,0.4360138478546386,0.9971826858763817,3037,0.013650623741373503,Japanese Grand Prix,d_X_optimal,xgb,0.9895450585120971
0.9338310984897272,0.5584368307821984,0.9947120667042207,3760,0.020751802188660604,Las Vegas Grand Prix,d_X_optimal,xgb,0.9895450585120971
0.8955877830383623,0.6349565832584911,0.9953280220151229,2667,0.01990195073418583,Mexico City Grand Prix,d_X_optimal,xgb,0.9895450585120971
1.9887843386459194,1.1737968159192778,0.9699084111203526,2720,0.04419520752546487,Miami Grand Prix,d_X_optimal,xgb,0.9895450585120971
0.9651940341577679,0.5397304084640889,0.9963353536801015,3875,0.021448756314617064,Monaco Grand Prix,d_X_optimal,xgb,0.9895450585120971
0.23196986422588142,0.1818182059234477,0.9991188340098215,3599,0.005154885871686254,Qatar Grand Prix,d_X_optimal,xgb,0.9895450585120971
0.3405145171362368,0.25999052298107556,0.9691491152970003,3300,0.007566989269694151,Saudi Arabian Grand Prix,d_X_optimal,xgb,0.9895450585120971
1.4944840277792732,0.7861390566077824,0.9862677561725854,4430,0.03321075617287274,Singapore Grand Prix,d_X_optimal,xgb,0.9895450585120971
0.3706319283476905,0.2771229215880027,0.9967640748441142,3770,0.008236265074393121,Spanish Grand Prix,d_X_optimal,xgb,0.9895450585120971
0.6185598931912708,0.4328692371418926,0.9974499935110134,2848,0.013745775404250463,São Paulo Grand Prix,d_X_optimal,xgb,0.9895450585120971
2.0297780735228796,0.9568513396469581,0.9813799036342177,3578,0.04510617941161955,United States Grand Prix,d_X_optimal,xgb,0.9895450585120971
0.29408788986709966,0.19090667287872162,0.9993963540524027,3270,0.006535286441491104,Abu Dhabi Grand Prix,d_X_optimal,mlp,0.997507123883433
0.39227726312976735,0.21197207312611052,0.99640121826201,2310,0.00871727251399483,Australian Grand Prix,d_X_optimal,mlp,0.997507123883433
0.37022300078411796,0.24001934786789045,0.999154902206336,2399,0.008227177795202621,Austrian Grand Prix,d_X_optimal,mlp,0.997507123883433
0.8174689571638613,0.5891254851330827,0.9953510971824745,3975,0.018165976825863583,Azerbaijan Grand Prix,d_X_optimal,mlp,0.997507123883433
0.3720446815895907,0.23903402696231776,0.9992624010102942,3198,0.008267659590879793,Bahrain Grand Prix,d_X_optimal,mlp,0.997507123883433
0.5931886935873684,0.33834992537666775,0.996825790107606,4228,0.013181970968608186,Belgian Grand Prix,d_X_optimal,mlp,0.997507123883433
0.2346259488807698,0.15702625951258048,0.9985677759332127,2835,0.005213909975128218,British Grand Prix,d_X_optimal,mlp,0.997507123883433
0.8644808663518536,0.41391247607378207,0.9941142404486535,2797,0.01921068591893008,Canadian Grand Prix,d_X_optimal,mlp,0.997507123883433
0.684311680015966,0.4509149046133676,0.9977529522549379,3707,0.015206926222577022,Chinese Grand Prix,d_X_optimal,mlp,0.997507123883433
0.3444850755385852,0.24144572684593074,0.9989019522149908,2840,0.007655223900857449,Dutch Grand Prix,d_X_optimal,mlp,0.997507123883433
0.5343788574825667,0.24638997343660682,0.9962613194452588,3899,0.011875085721834816,Emilia Romagna Grand Prix,d_X_optimal,mlp,0.997507123883433
0.2452126781258805,0.17641010746928953,0.9992800463584124,3480,0.005449170625019566,Hungarian Grand Prix,d_X_optimal,mlp,0.997507123883433
0.9599383720390424,0.45281629992439193,0.9918411162394007,2395,0.02133196382308983,Italian Grand Prix,d_X_optimal,mlp,0.997507123883433
0.3482350467546812,0.2405022451701288,0.999094579743961,3037,0.007738556594548471,Japanese Grand Prix,d_X_optimal,mlp,0.997507123883433
0.993889760986999,0.5199529408919473,0.9940100149873762,3760,0.022086439133044422,Las Vegas Grand Prix,d_X_optimal,mlp,0.997507123883433
0.5590480470017037,0.3381582181882891,0.9981795333148662,2667,0.012423289933371193,Mexico City Grand Prix,d_X_optimal,mlp,0.997507123883433
1.1108690154700025,0.6202549351614297,0.9906115165689539,2720,0.02468597812155561,Miami Grand Prix,d_X_optimal,mlp,0.997507123883433
0.9841271922738574,0.5169927135401381,0.9961901728475377,3875,0.021869493161641274,Monaco Grand Prix,d_X_optimal,mlp,0.997507123883433
