rmse,mae,r2,n,nrmse,circuit,target,model,feature_set
1.375181780263904,0.7564746912676352,0.988372692187209,4430,0.030559595116975643,Singapore Grand Prix,d_X_optimal,xgb_full,full
0.39735792134692854,0.2926011529234954,0.9962805685407657,3770,0.008830176029931745,Spanish Grand Prix,d_X_optimal,xgb_full,full
0.6036175184711312,0.4041235420530113,0.997571705020033,2848,0.013413722632691805,São Paulo Grand Prix,d_X_optimal,xgb_full,full
1.9741865916968726,0.9516480851415874,0.9823858696226193,3578,0.04387081314881939,United States Grand Prix,d_X_optimal,xgb_full,full
2.658039767538592,1.2760825742605388,0.9506881886616001,3270,0.05906755038974649,Abu Dhabi Grand Prix,d_X_optimal,xgb_geometry_only,geometry_only
0.7176625674774473,0.5380778518147641,0.9879549162584328,2310,0.015948057055054383,Australian Grand Prix,d_X_optimal,xgb_geometry_only,geometry_only
0.48823361980383895,0.33925794527519454,0.9985302768395617,2399,0.010849635995640865,Austrian Grand Prix,d_X_optimal,xgb_geometry_only,geometry_only
1.238979874512244,0.8568885436887353,0.989320856255899,3975,0.02753288610027209,Azerbaijan Grand Prix,d_X_optimal,xgb_geometry_only,geometry_only
0.9767693889020093,0.5355780138782331,0.994915898721482,3198,0.021705986420044652,Bahrain Grand Prix,d_X_optimal,xgb_geometry_only,geometry_only
0.626540117834274,0.4120398955216673,0.9964588226281558,4228,0.013923113729650534,Belgian Grand Prix,d_X_optimal,xgb_geometry_only,geometry_only
0.7515871155934256,0.5146616398164422,0.9852610022702433,2845,0.016701935902076123,British Grand Prix,d_X_optimal,xgb_geometry_only,geometry_only
1.000925496539976,0.5975713314835398,0.9921096685050776,2797,0.022242788811999467,Canadian Grand Prix,d_X_optimal,xgb_geometry_only,geometry_only
2.1882800718809774,1.1056810432185424,0.9770221068460165,3707,0.0486284460417995,Chinese Grand Prix,d_X_optimal,xgb_geometry_only,geometry_only
0.38896593633310467,0.27046298068032826,0.9986000789077181,2840,0.008643687474068993,Dutch Grand Prix,d_X_optimal,xgb_geometry_only,geometry_only
0.7115951211744622,0.5199076088596025,0.9933704240763239,3899,0.015813224914988048,Emilia Romagna Grand Prix,d_X_optimal,xgb_geometry_only,geometry_only
0.27972020009958476,0.21591438677958585,0.9990631580009891,3480,0.006216004446657439,Hungarian Grand Prix,d_X_optimal,xgb_geometry_only,geometry_only
1.0011694956933308,0.4221707254346634,0.9911251860207823,2395,0.022248211015407353,Italian Grand Prix,d_X_optimal,xgb_geometry_only,geometry_only
0.6768494581363458,0.5005329892489135,0.9965795013470696,3037,0.015041099069696574,Japanese Grand Prix,d_X_optimal,xgb_geometry_only,geometry_only
1.3015480902303387,0.8305466193106781,0.989727651586524,3760,0.028923290894007525,Las Vegas Grand Prix,d_X_optimal,xgb_geometry_only,geometry_only
0.8655995962501483,0.5247700398037455,0.9956356601986239,2667,0.019235546583336628,Mexico City Grand Prix,d_X_optimal,xgb_geometry_only,geometry_only
1.9922633485545675,1.101808642399902,0.9698030397125067,2720,0.04427251885676817,Miami Grand Prix,d_X_optimal,xgb_geometry_only,geometry_only
1.1632148640408286,0.6996353520642491,0.9946774139036826,3875,0.025849219200907304,Monaco Grand Prix,d_X_optimal,xgb_geometry_only,geometry_only
